PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_NAME,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE
144,144,92,DMC MAJ Campus 8 K AREA (Combined)-I,1407,Muhammad Haris (PTI),31,213,472,33.54655,472,33.54655,0
75,75,92,Baldia Boys'Girls Secondary School.Social Ground Landhi No. 6 (Male)-II,2029,Muhammad Haris (PTI),78,270,674,33.21833,674,33.21833,0
138,138,92,Apwa Government Boys Secondary School J/1 Area (Comblned)-II,1664,Muhammad Haris (PTI),24,254,552,33.17308,564,33.89423,12
174,30,93,Govt Degree- Collage for Woman Korangi No. 6 (Combined)-III,1993,Muhammad Haris (PTI),45,393,660,33.11591,660,33.11591,0
269,116,94,"Al Johar, DMC School No. 65, 35-B, Korangl No. 4 (Combined)-I",2806,Muhammad Haris (PTI),52,470,929,33.10763,929,33.10763,0
142,142,92,Government Girls Primarv School No. 5 K Area Korangi (FeMale)-II,1675,Muhammad Haris (PTI),19,282,553,33.01493,543,32.41791,10
24,24,92,G<M. Girls Hlche<.s«ondary School NO1 landhl No.1 ICombined),1507,Muhammad Haris (PTI),78,192,496,32.91307,496,32.91307,0
31,31,92,hidla Girls Primary School No. 33 landhi No. 2 (Combined,1629,Muhammad Haris (PTI),68,299,533,32.71946,533,32.71946,0
109,109,92,Govemment Girls Secondary School No. 1 K Area Koning! (Comblned)-II,1711,Muhammad Haris (PTI),41,272,558,32.61251,558,32.61251,0
149,5,93,GBSS No. 3 51/B  Korangi 6 Campus (Male)-III,1627,Muhammad Haris (PTI),75,206,528,32.45237,527,32.39090,1
232,1,94,Babaza School Sector 35/A Zaman Town (Combined),1762,Muhammad Haris (PTI),83,212,571,32.40636,871,49.43246,300
188,44,93,DMC School No 19 / 20 Korangl 5 1/2 (Combined)-I,1615,Muhammad Haris (PTI),47,256,522,32.32198,522,32.32198,0
45,45,92,Bldia Boys pre school Rsc 37 / 38 Ajmer colony (combined)-I,2148,Muhammad Haris (PTI),162,222,694,32.30912,694,32.30912,0
145,1,93,GBSS No. 3 51/B  Korangi 6 Campus (Male)-I,1535,Muhammad Haris (PTI),73,225,495,32.24756,496,32.31270,1
106,106,92,GBHSS No.  2 K Area Korangi (Comblned)-III,2419,Muhammad Haris (PTI),55,222,779,32.20339,783,32.36875,4
132,132,92,DMC Girls Secondary School SS/3 Area 40 landhi (Rasheedeea) (Combined)-II,1778,Muhammad Haris (PTI),96,236,571,32.11474,571,32.11474,0
214,70,93,Al-fayyaz English (Cost Guard) (Combined)-I,1977,Muhammad Haris (PTI),77,123,632,31.96763,648,32.77693,16
208,64,93,Govt. Boys Model Primary School Sector 48/E Korangl (Combined)-I,1643,Muhammad Haris (PTI),146,158,525,31.95374,525,31.95374,0
190,46,93,GGSS (G10) Korangi 100-Quarters (Combined)-VI,2277,Muhammad Haris (PTI),71,346,724,31.79622,720,31.62055,4
155,11,93,GBSS No3   51 B Korangl No.6 (Combined)-I,1675,Muhammad Haris (PTI),75,193,532,31.76119,532,31.76119,0
285,86,96,GBPS AWAMI COLONY (Combined)-I,2278,Muhammad Haris (PTI),13,165,723,31.73837,723,31.73837,0
107,107,92,GBHSS No.  2 K Area Korangi (Comblned)-IV,2351,Muhammad Haris (PTI),75,383,746,31.73118,746,31.73118,0
260,29,94,Govt. Boys Degree Collage Korangi No. 02 1/2 (Combined)-II,2389,Muhammad Haris (PTI),90,314,756,31.64504,756,31.64504,0
19,19,92,Government Boys Primary School imam Memorial (Near Imam Memmorial Ground) (Combined),1714,Muhammad Haris (PTI),80,165,541,31.56359,540,31.50525,1
135,135,92,Baldia Muhammad All Jinnah RSL 66/67 K Area (Combined)-I,2298,Muhammad Haris (PTI),73,396,725,31.54917,,0.00000,725
196,52,93,GUBPS KTS-17 Korangl Madeena Colony (Combined)-I,1438,Muhammad Haris (PTI),23,149,453,31.50209,468,32.54520,15
153,9,93,GBPS Roomi51/C (Male)-I,1915,Muhammad Haris (PTI),107,212,602,31.43603,602,31.43603,0
9,9,92,"Govt, boys Secondary School Paris Mill Landhi (Combined)-II",1687,Muhammad Haris (PTI),77,245,529,31.35744,529,31.35744,0
264,33,94,New Daisy School (Combined)-I,2110,Muhammad Haris (PTI),44,248,658,31.18483,660,31.27962,2
229,108,93,GGPS No. 9 Korangi 6 (Taulka education Office Female)(Female)-I,946,Muhammad Haris (PTI),35,183,295,31.18393,295,31.18393,0
23,23,92,Government Boys Hi1h school l.andhl No. 1 Cl  Landhi (Combined),1795,Muhammad Haris (PTI),52,219,557,31.03064,557,31.03064,0
283,84,96,ISLAMIC ENGLISH Acadey Awami (Combined)-II,910,Muhammad Javaid Hanif (MQM),611,3,281,30.87912,232,25.49451,49
127,127,92,SV Memorial (PVT) 4D Landhl No.6 (Combined)-I,2386,Muhammad Haris (PTI),71,231,730,30.59514,730,30.59514,0
207,63,93,Cardinal Caderio Catholic School (Comblned)-II,2233,Muhammad Haris (PTI),85,210,677,30.31796,718,32.15405,41
147,3,93,GBSS No. 3 51/B  Korangi 6 Campus (Male)-II,1895,Muhammad Haris (PTI),88,236,574,30.29024,574,30.29024,0
255,24,94,GBSS KTS No. 13 Khaddi Stop (Female)-II,2075,Muhammad Haris (PTI),37,264,628,30.26506,630,30.36145,2
119,119,92,Baldia GBSS J Area Korangl (Female}-I,1347,Muhammad Haris (PTI),22,161,407,30.21529,407,30.21529,0
22,22,92,Govt. Girts Secondary School NO 1 l.andhl No. 1 (Female)-11,767,Muhammad Haris (PTI),15,83,228,29.72621,168,21.90352,60
251,20,94,KMC School RSK 17 Korangi Khaddi Area (Female)-I,1661,Muhammad Haris (PTI),47,223,492,29.62071,492,29.62071,0
172,28,93,Govt Degree- Collage for Woman Korangi No. 6 (Combined)-I,2560,Muhammad Haris (PTI),128,356,758,29.60938,759,29.64844,1
140,140,92,Government Girls Primarv School No. 5 K Area Korangi (FeMale)-I,1709,Muhammad Haris (PTI),25,291,503,29.43242,503,29.43242,0
49,49,92,Pacific Grammer school Noor Ahmad Masjid Landhi (Combined)-I,1745,Muhammad Haris (PTI),74,155,503,28.82521,503,28.82521,0
261,30,94,Urooj PIiot School 34 /2   (Combined),1732,Muhammad Haris (PTI),32,219,495,28.57968,525,30.31178,30
108,108,92,Govemment Girls Secondary School No. 1 K Area Koning! (Comblned)-I,2302,Muhammad Haris (PTI),87,268,657,28.54040,656,28.49696,1
27,27,92,GOVT BOYS PRIMARY SCHOOL Cl'flLANDHI ICombined,1805,Muhammad Haris (PTI),58,271,512,28.36565,512,28.36565,0
227,106,93,GBPS KTS 16 Korangi 6 (Combined),1968,Muhammad Haris (PTI),64,289,558,28.35366,560,28.45528,2
249,18,94,GBSS KTS No. 13 Khaddi Stop (Female)-I,1936,Muhammad Haris (PTI),19,375,538,27.78926,542,27.99587,4
169,25,93,GGPS Korangii No.5 1/2 near KTS-1(Combined)-I,1653,Muhammad Haris (PTI),47,142,459,27.76770,455,27.52571,4
116,116,92,GGPS No. 7 KorangI No. 6 (Combined)-111,1916,Muhammad Haris (PTI),79,145,532,27.76618,532,27.76618,0
194,50,93,Pak Foundation School 50/A. Korangl (FeMale)-I,1109,Muhammad Haris (PTI),29,177,306,27.59243,306,27.59243,0
180,36,93,"GUBSS KTS N0.10, Korangl 5 1/2 G Market (FeMale)-I",1394,Muhammad Haris (PTI),39,218,381,27.33142,377,27.04448,4
10,10,92,AI-Hijra Education System (Combined),1052,Muhammad Haris (PTI),27,100,287,27.28137,287,27.28137,0
236,5,94,GBLSS  (King English) (Female)-I,2255,Muhammad Haris (PTI),52,255,611,27.09534,647,28.69180,36
92,92,92,Baldia Govt Girls Secondary School 36/B landhl (Combined)-II,1898,Muhammad Haris (PTI),62,178,514,27.08114,514,27.08114,0
247,16,94,GBSS No. 1 Korangi 4 (Female)-I,1759,Muhammad Haris (PTI),15,255,475,27.00398,477,27.11768,2
101,101,92,Govermment Boys Primary School 36--G Sahreef Colony (FeMale)-l,2002,Muhammad Haris (PTI),22,161,536,26.77323,536,26.77323,0
210,66,93,Govt. Boys Model Primary School Sector 48/E Korangl (Female)-I,1957,Muhammad Haris (PTI),110,181,523,26.72458,523,26.72458,0
82,82,92,Government Boys Secondary School 36/8 Landhi (Combined)-I,2188,Muhammad Haris (PTI),47,291,583,26.64534,583,26.64534,0
173,29,93,Govt Degree- Collage for Woman Korangi No. 6 (Combined)-II,2114,Muhammad Haris (PTI),30,329,560,26.49007,564,26.67928,4
20,20,92,Govt. Girts Secondary School NO 1 landhi No.1 (Comblned),1460,Muhammad Haris (PTI),36,121,386,26.43836,386,26.43836,0
70,70,92,GBPS NO.4 Landhi No.5 (FeMale)-II,1451,Muhammad Haris (PTI),42,164,383,26.39559,383,26.39559,0
277,78,96,LS-60 CDGK SECTOR-10 LANDHI (Combined)-I,1688,Muhammad Haris (PTI),86,129,445,26.36256,445,26.36256,0
5,5,92,GOVT BOYS PRIMARY SCHOOL C/1 LANDHI (Female)-I,2184,Muhammad Haris (PTI),52,211,572,26.19048,572,26.19048,0
105,105,92,GBHSS No.  2 K Area Korangi (Comblned)-II,1977,Muhammad Haris (PTI),13,134,516,26.10015,516,26.10015,0
122,122,92,Siraj Academy 40 Landhi No. 6 (Private) School (Combined)-I,2322,Muhammad Haris (PTI),70,231,604,26.01206,604,26.01206,0
212,68,93,GBPS KTS NO.19 (Female)-I,1048,Muhammad Javaid Hanif (MQM),53,0,268,25.57252,364,34.73282,96
152,8,93,GBSS No. 3 51/B  Korangi 6 Campus (FeMale)-IV,1508,Muhammad Haris (PTI),16,240,384,25.46419,384,25.46419,0
241,10,94,Govt. Boys Primary School 35/C Korangi No3 1/2 (Female)-I,1758,Muhammad Haris (PTI),21,241,447,25.42662,447,25.42662,0
25,25,92,Gowmment Boys hiSh School No. 7 ArH 37-0 (Male,2465,Muhammad Haris (PTI),66,191,626,25.39554,626,25.39554,0
168,24,93,GBPS KTS 1  Korangi 5 1/2    (FeMale)-I,1398,Muhammad Haris (PTI),22,153,342,24.46352,335,23.96280,7
126,126,92,Goverment Boys Primary School 36/C Landhl 6 (Female),1390,Muhammad Haris (PTI),44,129,340,24.46043,337,24.24460,3
57,57,92,Govt. Boys science College 36/B zamanabad Landhi (FeMale)-I,1280,Muhammad Haris (PTI),30,141,310,24.21875,310,24.21875,0
80,80,92,"DMC Muhammad All Jinnah Model School 36'/""B Landhl Zamanabad (Female)-I",1543,Muhammad Haris (PTI),21,190,372,24.10888,372,24.10888,0
245,14,94,GGSS No. 4 Korangi 3-1/2 (Female)-II,2272,Muhammad Haris (PTI),19,304,546,24.03169,571,25.13204,25
178,34,93,"GBSS KTS N0.10, Korangl 5 1/2 G Market (FeMale)-I",1567,Muhammad Haris (PTI),39,219,373,23.80345,377,24.05871,4
60,60,92,DMC Muhammad Ali Jinnah Model School 2B Landhi (FeMale)-I,1888,Muhammad Haris (PTI),51,177,447,23.67585,449,23.78178,2
278,79,96,ALLIED SCHOOLS GUL MILLAT (Combined)-II,1638,Muhammad Haris (PTI),55,122,385,23.50427,385,23.50427,0
17,17,92,Baldia Primary School Noor Manzil Landhl NO 1 (Female),1441,Muhammad Haris (PTI),51,147,337,23.38654,337,23.38654,0
68,68,92,GBPS NO.4 Landhi No.5 (FeMale)-I,1872,Muhammad Haris (PTI),1,201,435,23.23718,495,26.44231,60
64,64,92,Govt Boys Secondary School No 2 Landhi No 5 (Gosht Market School)(FeMale)-I,2109,Muhammad Haris (PTI),25,195,477,22.61735,477,22.61735,0
159,15,93,GGSS No. 2 Korangi No. 6 (FeMale)-I,1636,Muhammad Haris (PTI),22,243,368,22.49389,369,22.55501,1
259,28,94,Govt. Boys Degree Collage Korangi No. 02 1/2 (Combined)-I,1204,Muhammad Haris (PTI),45,90,269,22.34219,269,22.34219,0
15,15,92,DMC Muhammad All Jinnah Model Noor Manzil 32 Landhi (Female),2036,Muhammad Haris (PTI),50,217,450,22.10216,459,22.54420,9
62,62,92,Govt Boys Primary School 5/D Landhi No.6 (FeMale)-I,2200,Muhammad Javaid Hanif (MQM),33,1,474,21.54545,468,21.27273,6
13,13,92,Baldia Primary School Noor Manzil Landhl school No.I 32(Female),1859,Muhammad Haris (PTI),35,187,395,21.24798,348,18.71974,47
11,11,92,The Advance School Montessori System (Combined),2485,Muhammad Haris (PTI),80,175,528,21.24748,532,21.40845,4
231,110,93,KDA Building Korangi No 4 (Combined),990,Muhammad Haris (PTI),20,99,209,21.11111,209,21.11111,0
276,77,96,ALLIED SCHOOLS GUL MILLAT (Combined),2512,Muhammad Haris (PTI),51,195,529,21.05892,528,21.01911,1
66,66,92,Govt Boys Secondary School No 2 Landhi No 5 (FeMale)-II,2090,Muhammad Haris (PTI),31,213,440,21.05263,440,21.05263,0
164,20,93,GBSS KTS 1  Korangi 5 1/2    (FeMale)-I,1681,Muhammad Haris (PTI),41,178,350,20.82094,350,20.82094,0
161,17,93,GGSS No. 2 Korangi No. 6 (FeMale)-II,1308,Muhammad Haris (PTI),15,150,269,20.56575,269,20.56575,0
72,72,92,Millat Secondary School Area 5C Landhi No. 6 (Combined)-I,2189,Muhammad Haris (PTI),60,201,450,20.55733,450,20.55733,0
88,88,92,Shaheen Secondary School 36/B landhi (Female)-1,2057,Muhammad Haris (PTI),40,156,411,19.98055,411,19.98055,0
134,134,92,DMC Girls Secondary School SS/3 Area 40 landhi (Rasheedeea) (FeMale),1324,Muhammad Haris (PTI),30,139,261,19.71299,261,19.71299,0
76,76,92,Baldia Boys'Girls Secondary School.Social Ground Landhi No. 6 (FeMale)-II,1526,Muhammad Haris (PTI),29,129,300,19.65924,300,19.65924,0
74,74,92,Baldia Boys'Girls Secondary School.Social Ground Landhi No. 6 (FeMale)-1,1710,Muhammad Haris (PTI),25,157,333,19.47368,333,19.47368,0
275,122,94,DMC Elementary Collage Korangl No.5 Opposite Memon Technical Institute (Female)-II,2512,Muhammad Haris (PTI),40,253,487,19.38694,519,20.66083,32
124,124,92,Goverment Boys Primary School KTS No. 9 Korangi No. 6 (FeMale)-l,2452,Muhammad Haris (PTI),55,235,474,19.33116,470,19.16803,4
150,6,93,GBSS No. 3 51/B  Korangi 6 Campus (FeMale)-III,1229,Muhammad Haris (PTI),23,96,234,19.03987,234,19.03987,0
146,2,93,GBSS No. 3 51/B  Korangi 6 Campus (FeMale)-I,1266,Muhammad Haris (PTI),25,136,238,18.79937,238,18.79937,0
8,8,92,Govt. boys Secondary School Paris Mill Landhi (Female)-I,1832,Muhammad Haris (PTI),34,163,332,18.12227,332,18.12227,0
154,10,93,GBPS Roomi51/C (FeMale)-I,1482,Muhammad Haris (PTI),30,126,246,16.59919,246,16.59919,0
171,27,93,GBSS D Area Korangi No. 5 1/2 (FeMale}-I,1696,Muhammad Haris (PTI),30,161,278,16.39151,277,16.33255,1
148,4,93,GBSS No. 3 51/B  Korangi 6 Campus (FeMale)-II,1483,Muhammad Haris (PTI),17,118,223,15.03709,223,15.03709,0
